loc,length,bug type,approach
9,7,Re+AC0-erntrancy,code snippet injection
19,8,Re+AC0-erntrancy,code snippet injection
36,8,Re+AC0-erntrancy,code snippet injection
48,8,Re+AC0-erntrancy,code snippet injection
57,7,Re+AC0-erntrancy,code snippet injection
69,8,Re+AC0-erntrancy,code snippet injection
81,8,Re+AC0-erntrancy,code snippet injection
94,8,Re+AC0-erntrancy,code snippet injection
103,8,Re+AC0-erntrancy,code snippet injection
112,8,Re+AC0-erntrancy,code snippet injection
122,8,Re+AC0-erntrancy,code snippet injection
131,8,Re+AC0-erntrancy,code snippet injection
141,8,Re+AC0-erntrancy,code snippet injection
152,8,Re+AC0-erntrancy,code snippet injection
234,8,Re+AC0-erntrancy,code snippet injection
243,8,Re+AC0-erntrancy,code snippet injection
252,8,Re+AC0-erntrancy,code snippet injection
261,8,Re+AC0-erntrancy,code snippet injection
269,8,Re+AC0-erntrancy,code snippet injection
276,8,Re+AC0-erntrancy,code snippet injection
286,8,Re+AC0-erntrancy,code snippet injection
296,8,Re+AC0-erntrancy,code snippet injection
304,8,Re+AC0-erntrancy,code snippet injection
313,8,Re+AC0-erntrancy,code snippet injection
324,8,Re+AC0-erntrancy,code snippet injection
335,8,Re+AC0-erntrancy,code snippet injection
344,8,Re+AC0-erntrancy,code snippet injection
352,8,Re+AC0-erntrancy,code snippet injection
402,8,Re+AC0-erntrancy,code snippet injection
426,8,Re+AC0-erntrancy,code snippet injection
458,8,Re+AC0-erntrancy,code snippet injection
503,8,Re+AC0-erntrancy,code snippet injection
533,8,Re+AC0-erntrancy,code snippet injection
567,8,Re+AC0-erntrancy,code snippet injection
602,8,Re+AC0-erntrancy,code snippet injection
652,3,Re+AC0-erntrancy,code snippet injection
664,7,Re+AC0-erntrancy,code snippet injection
