loc,length,bug type,approach
9,5,Unhandled-Exceptions,code snippet injection
19,3,Unhandled-Exceptions,code snippet injection
31,3,Unhandled-Exceptions,code snippet injection
38,3,Unhandled-Exceptions,code snippet injection
46,5,Unhandled-Exceptions,code snippet injection
58,2,Unhandled-Exceptions,code snippet injection
66,4,Unhandled-Exceptions,code snippet injection
75,3,Unhandled-Exceptions,code snippet injection
85,3,Unhandled-Exceptions,code snippet injection
93,5,Unhandled-Exceptions,code snippet injection
103,5,Unhandled-Exceptions,code snippet injection
109,3,Unhandled-Exceptions,code snippet injection
113,5,Unhandled-Exceptions,code snippet injection
192,3,Unhandled-Exceptions,code snippet injection
196,3,Unhandled-Exceptions,code snippet injection
200,3,Unhandled-Exceptions,code snippet injection
204,3,Unhandled-Exceptions,code snippet injection
217,3,Unhandled-Exceptions,code snippet injection
228,3,Unhandled-Exceptions,code snippet injection
245,4,Unhandled-Exceptions,code snippet injection
250,2,Unhandled-Exceptions,code snippet injection
261,4,Unhandled-Exceptions,code snippet injection
266,3,Unhandled-Exceptions,code snippet injection
365,3,Unhandled-Exceptions,code snippet injection
405,3,Unhandled-Exceptions,code snippet injection
468,5,Unhandled-Exceptions,code snippet injection
500,2,Unhandled-Exceptions,code snippet injection
556,3,Unhandled-Exceptions,code snippet injection
