loc,length,bug type,approach
136,3,Unhandled-Exceptions,code snippet injection
140,3,Unhandled-Exceptions,code snippet injection
150,5,Unhandled-Exceptions,code snippet injection
160,3,Unhandled-Exceptions,code snippet injection
173,2,Unhandled-Exceptions,code snippet injection
185,4,Unhandled-Exceptions,code snippet injection
202,3,Unhandled-Exceptions,code snippet injection
206,8,Unhandled-Exceptions,code snippet injection
215,3,Unhandled-Exceptions,code snippet injection
220,5,Unhandled-Exceptions,code snippet injection
226,3,Unhandled-Exceptions,code snippet injection
230,3,Unhandled-Exceptions,code snippet injection
235,9,Unhandled-Exceptions,code snippet injection
247,4,Unhandled-Exceptions,code snippet injection
252,2,Unhandled-Exceptions,code snippet injection
255,5,Unhandled-Exceptions,code snippet injection
263,4,Unhandled-Exceptions,code snippet injection
268,3,Unhandled-Exceptions,code snippet injection
278,3,Unhandled-Exceptions,code snippet injection
293,5,Unhandled-Exceptions,code snippet injection
307,3,Unhandled-Exceptions,code snippet injection
325,5,Unhandled-Exceptions,code snippet injection
339,5,Unhandled-Exceptions,code snippet injection
349,3,Unhandled-Exceptions,code snippet injection
364,5,Unhandled-Exceptions,code snippet injection
374,9,Unhandled-Exceptions,code snippet injection
391,5,Unhandled-Exceptions,code snippet injection
404,3,Unhandled-Exceptions,code snippet injection
416,3,Unhandled-Exceptions,code snippet injection
423,8,Unhandled-Exceptions,code snippet injection
441,5,Unhandled-Exceptions,code snippet injection
471,2,Unhandled-Exceptions,code snippet injection
482,3,Unhandled-Exceptions,code snippet injection
504,3,Unhandled-Exceptions,code snippet injection
